Time,GHI_0_Wm2,GHI_1_Wm2,GHI_2_Wm2,GHI_3_Wm2,GHI_4_Wm2,GHI_5_Wm2,DNI_0_Wm2,DNI_1_Wm2,DNI_2_Wm2
2025-08-16 00:31:00+00:00,-2.1104738154613467,-1.5,-1.1,0.31947425892857145,-0.02500917,0.03539033733333333,-0.06814908936891148,,-1.8
2025-08-16 00:32:00+00:00,-2.0300083125519537,-1.4166666666666667,-1.1166666666666667,0.48242282280701754,-0.025892809500000002,0.3009120476666667,-0.040936044049131724,0.8414285714285714,-1.8
2025-08-16 00:33:00+00:00,-1.9122610141313385,-1.3283333333333334,-1.1916666666666667,0.7454987894736842,-0.025622975,0.307375237779661,-0.0357687420584498,0.85,-1.8
2025-08-16 00:34:00+00:00,-1.9196799667497924,-1.3,-1.2,0.5323869912280702,-0.02278416133333333,-0.06067070063333334,-0.03930537907666243,0.8161111111111111,-1.8
2025-08-16 00:35:00+00:00,-1.9066708229426437,-1.3,-1.2,0.4204376298245614,-0.02335183966666667,0.11013023919500001,-0.02308343922066921,0.81,-1.7466666666666666
2025-08-16 00:36:00+00:00,-1.9294472152950959,-1.3,-1.1983333333333333,0.3207521385964912,-0.022950095833333333,-0.0168765201,-0.033714527742482,0.7507692307692307,-1.7566666666666668
2025-08-16 00:37:00+00:00,-1.9486492103075648,-1.3,-1.1616666666666666,0.24625671228070176,-0.022788858833333335,-0.11418002446666667,-0.035938161795849216,,-1.7216666666666667
2025-08-16 00:38:00+00:00,-1.9540523690773066,-1.3,-1.1050000000000002,0.22903843333333335,-0.022849237216666665,0.015858640583333337,-0.043053790766624314,0.7084615384615384,-1.7016666666666667
2025-08-16 00:39:00+00:00,-1.8937240232751456,-1.3,-1.1,0.39430094912280705,-0.02498843766666667,0.15956442216666666,-0.0378864887759424,0.73,-1.7
2025-08-16 00:40:00+00:00,-1.8254156275976725,-1.2149999999999999,-1.1,0.5540002701754385,-0.027274217499999996,0.04153746516666667,-0.04673867005506142,0.7324999999999999,-1.7
2025-08-16 00:41:00+00:00,-1.8365752285951789,-1.2033333333333334,-1.1,0.3354789842105263,-0.025748662499999995,-0.14818962835593222,-0.062071156289707746,0.6314285714285715,-1.7
2025-08-16 00:42:00+00:00,-1.8026392352452205,-1.195,-1.1,0.2696943052631579,-0.02647695483333333,-0.04278717601666667,-0.04807285048708174,0.615,-1.7
2025-08-16 00:43:00+00:00,-1.7062967581047381,-1.1,-1.0116666666666667,0.39884626842105264,-0.025517888166666666,-0.22510355632666668,-0.05292249047013978,0.5075,-1.7
2025-08-16 00:44:00+00:00,-1.68640897755611,-1.1,-0.9916666666666667,0.0012954570535714284,-0.024141105500000003,-0.44716796,-0.05669207962727658,,-1.6883333333333332
2025-08-16 00:45:00+00:00,-1.604862842892768,-1.0016666666666667,-0.9,-0.1369231952631579,-0.02528026883333333,-0.3689397466666667,-0.05929690808979246,0.33384615384615385,-1.6766666666666665
